ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
ZHXY,42,1,1,False,False,"[1, 0, 1, 1, 1, 0, 2, -1, 0, 1, 1, 0, 1, 3, 0, 1, 0, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.43140000104904175, 0.5795999765396118, 0.6442999839782715, 0.5673999786376953, 0.6761999726295471, 0.6614000201225281, 0.621399998664856, 0.7095999717712402, 0.5878999829292297, 0.7077000141143799, 0.7031999826431274, 0.6561999917030334, 0.7702999711036682, 0.7689999938011169, 0.7139000296592712, 0.7396000027656555, 0.7786999940872192, 0.8009999990463257, 0.7551000118255615, 0.7091000080108643]","[1.5811631679534912, 1.1979420185089111, 1.0363411903381348, 1.3099807500839233, 0.9429492950439453, 0.9980048537254333, 1.20994234085083, 0.8744291067123413, 1.3030061721801758, 0.8397747278213501, 0.8901665806770325, 1.0782479047775269, 0.6737688183784485, 0.6818981766700745, 0.914443850517273, 0.8134682774543762, 0.658408522605896, 0.5822020769119263, 0.7686794996261597, 0.9737863540649414]",0.7091000080108643,0.9737863540649414,123364318,400.9096472263336,2513194,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IITR,42,1,1,False,False,"[1, 0, 0, 1, 1, 0, 1, 2, 0, 2, -1, 1, 1, 2, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.41990000009536743, 0.5138999819755554, 0.531499981880188, 0.6425999999046326, 0.6312000155448914, 0.5828999876976013, 0.7181000113487244, 0.7268999814987183, 0.6819999814033508, 0.7281000018119812, 0.771399974822998, 0.7251999974250793, 0.7232000231742859, 0.7455999851226807, 0.7833999991416931, 0.7768999934196472, 0.791100025177002, 0.6952999830245972, 0.8073999881744385, 0.7803999781608582]","[1.6774767637252808, 1.5850802659988403, 1.6354111433029175, 1.0811800956726074, 1.0716111660003662, 1.368580937385559, 0.8244263529777527, 0.8439388871192932, 0.9349048137664795, 0.8282598853111267, 0.7052711844444275, 0.8538960218429565, 0.8811044096946716, 0.8678464889526367, 0.664753794670105, 0.6860398054122925, 0.6635708808898926, 1.0627872943878174, 0.570953905582428, 0.7207179665565491]",0.7803999781608582,0.7207179665565491,142301790,408.6884412765503,4419978,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LMOA,42,1,1,False,False,"[1, 3, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 2, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.19679999351501465, 0.35740000009536743, 0.39730000495910645, 0.4456999897956848, 0.6384999752044678, 0.5115000009536743, 0.5942999720573425, 0.585099995136261, 0.4880000054836273, 0.5302000045776367, 0.7021999955177307, 0.6539000272750854, 0.5593000054359436, 0.427700012922287, 0.6816999912261963, 0.6061999797821045, 0.7265999913215637, 0.6291000247001648, 0.5900999903678894, 0.7289999723434448]","[3.072726249694824, 2.3584423065185547, 1.8909045457839966, 1.7567059993743896, 1.0194936990737915, 1.51820707321167, 1.218824863433838, 1.2723504304885864, 1.7463070154190063, 1.5178866386413574, 0.8521185517311096, 1.0355967283248901, 1.4439131021499634, 2.5079824924468994, 0.9386041760444641, 1.3504648208618164, 0.8435645699501038, 1.229735016822815, 1.3997713327407837, 0.8120013475418091]",0.7289999723434448,0.8120013475418091,73462462,409.4922761917114,4491882,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
XBPG,42,1,1,False,False,"[1, 3, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 2, -1, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.375, 0.43299999833106995, 0.5304999947547913, 0.6315000057220459, 0.6122999787330627, 0.619700014591217, 0.6574000120162964, 0.7400000095367432, 0.6898999810218811, 0.6869000196456909, 0.6726999878883362, 0.7311999797821045, 0.6917999982833862, 0.7533000111579895, 0.7329999804496765, 0.7835999727249146, 0.7723000049591064, 0.803600013256073, 0.7849000096321106, 0.7732999920845032]","[1.7961114645004272, 1.8435715436935425, 1.5083897113800049, 1.0833839178085327, 1.1679009199142456, 1.137929916381836, 1.02663254737854, 0.7256316542625427, 0.8916416168212891, 0.9017966985702515, 1.0619124174118042, 0.8104192018508911, 0.988105297088623, 0.7483551502227783, 0.820610523223877, 0.6574962139129639, 0.6922990679740906, 0.571337878704071, 0.7051582932472229, 0.7237861752510071]",0.7732999920845032,0.7237861752510071,519657278,627.0500330924988,17582186,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ULDG,42,1,1,False,False,"[1, 3, 1, 1, 1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.23989999294281006, 0.4781000018119812, 0.5965999960899353, 0.618399977684021, 0.6298999786376953, 0.7289000153541565, 0.6455000042915344, 0.6470999717712402, 0.7490000128746033, 0.7451000213623047, 0.6819999814033508, 0.739799976348877, 0.7351999878883362, 0.7260000109672546, 0.739799976348877, 0.7595000267028809, 0.7843000292778015, 0.8069999814033508, 0.7918999791145325, 0.758400022983551]","[2.244180202484131, 1.6282590627670288, 1.1295497417449951, 1.1130706071853638, 1.1164034605026245, 0.7740478515625, 1.0701488256454468, 1.041643500328064, 0.7236652970314026, 0.7427243590354919, 1.0110502243041992, 0.7864797115325928, 0.819067120552063, 0.8365013599395752, 0.7986237406730652, 0.708177924156189, 0.6639542579650879, 0.5813865661621094, 0.6581460237503052, 0.7512220144271851]",0.758400022983551,0.7512220144271851,689579982,705.4067330360413,10228458,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MLFX,42,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.19539999961853027, 0.4767000079154968, 0.5393000245094299, 0.4925999939441681, 0.5562999844551086, 0.49059998989105225, 0.6467000246047974, 0.5, 0.6208000183105469, 0.647599995136261, 0.545799970626831, 0.6427000164985657, 0.5374000072479248, 0.7245000004768372, 0.6769000291824341, 0.6919000148773193, 0.695900022983551, 0.7024999856948853, 0.6797000169754028, 0.7398999929428101]","[2.467792510986328, 1.4951162338256836, 1.2726184129714966, 1.455959677696228, 1.2000168561935425, 1.4504140615463257, 0.989975094795227, 1.537304401397705, 1.119694709777832, 1.023390769958496, 1.516494870185852, 1.13749361038208, 1.3821600675582886, 0.8033940196037292, 0.9372024536132812, 0.9242817163467407, 0.8929572105407715, 0.8717960119247437, 0.9710950255393982, 0.7780650854110718]",0.7398999929428101,0.7780650854110718,45534782,409.91235518455505,604810,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PYAL,42,1,1,False,False,"[1, 3, 0, 1, 1, 0, 2, -1, 1, 1, 3, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.35179999470710754, 0.4316999912261963, 0.5562999844551086, 0.6532999873161316, 0.7044000029563904, 0.7279000282287598, 0.7296000123023987, 0.7621999979019165, 0.7023000121116638, 0.7634999752044678, 0.7383999824523926, 0.7858999967575073, 0.7710000276565552, 0.7605000138282776, 0.7864999771118164, 0.7572000026702881, 0.8008000254631042, 0.8223000168800354, 0.8083000183105469, 0.807200014591217]","[1.8913463354110718, 1.8211976289749146, 1.373213768005371, 1.0217286348342896, 0.86813884973526, 0.770133912563324, 0.7906083464622498, 0.695775032043457, 0.8935300707817078, 0.6894491314888, 0.7886448502540588, 0.6334264874458313, 0.687338650226593, 0.7218594551086426, 0.6651405692100525, 0.7565343976020813, 0.5995920300483704, 0.5394836068153381, 0.5745822787284851, 0.581281840801239]",0.807200014591217,0.581281840801239,234031998,637.9454152584076,4717130,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KDPS,42,1,1,False,False,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 1, 0, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3698999881744385, 0.4900999963283539, 0.4724000096321106, 0.6370999813079834, 0.5544999837875366, 0.6326000094413757, 0.6967999935150146, 0.6175000071525574, 0.567300021648407, 0.6987000107765198, 0.7315999865531921, 0.7382000088691711, 0.7204999923706055, 0.6373000144958496, 0.7354999780654907, 0.6747000217437744, 0.7156000137329102, 0.7631000280380249, 0.6996999979019165, 0.704800009727478]","[1.8573168516159058, 1.4919404983520508, 1.583373785018921, 1.063452124595642, 1.43430757522583, 1.0892292261123657, 0.8754169940948486, 1.2142918109893799, 1.431968092918396, 0.8658934831619263, 0.773439884185791, 0.7521079778671265, 0.8281422853469849, 1.1675190925598145, 0.7721172571182251, 1.0000971555709839, 0.8793883919715881, 0.7012736797332764, 0.9281747341156006, 0.9270620346069336]",0.704800009727478,0.9270620346069336,45015358,420.6035830974579,2171434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HWOK,42,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2599000036716461, 0.5347999930381775, 0.6018000245094299, 0.6291000247001648, 0.6075000166893005, 0.5404999852180481, 0.6725999712944031, 0.6771000027656555, 0.6858000159263611, 0.6123999953269958, 0.7299000024795532, 0.6359000205993652, 0.7548999786376953, 0.7261999845504761, 0.6096000075340271, 0.6678000092506409, 0.7321000099182129, 0.7459999918937683, 0.7915999889373779, 0.6499999761581421]","[2.12554931640625, 1.3611897230148315, 1.1607539653778076, 1.0721218585968018, 1.1314586400985718, 1.5825191736221313, 0.9460383653640747, 0.9481827020645142, 0.9116582274436951, 1.2065907716751099, 0.7873625755310059, 1.1803900003433228, 0.7276145815849304, 0.8301582932472229, 1.3500453233718872, 1.084909439086914, 0.7928240895271301, 0.7833601832389832, 0.6319712400436401, 1.25369393825531]",0.6499999761581421,1.25369393825531,115254718,498.6021225452423,4611562,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HUBB,42,1,1,False,False,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 1, 1, 0, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2888000011444092, 0.49639999866485596, 0.5024999976158142, 0.6039000153541565, 0.5088000297546387, 0.6632999777793884, 0.6608999967575073, 0.6128000020980835, 0.6456000208854675, 0.6855000257492065, 0.7275000214576721, 0.671999990940094, 0.6725999712944031, 0.6524999737739563, 0.6937000155448914, 0.6651999950408936, 0.6816999912261963, 0.7148000001907349, 0.6746000051498413, 0.6682000160217285]","[2.029564142227173, 1.3792344331741333, 1.3788390159606934, 1.2001577615737915, 1.426141619682312, 0.9770365357398987, 0.9586931467056274, 1.130508542060852, 1.0334956645965576, 0.9058886766433716, 0.7859428524971008, 0.9530422687530518, 0.9597863554954529, 1.0318111181259155, 0.8838204145431519, 1.0172288417816162, 0.9734584093093872, 0.8243987560272217, 0.9897046685218811, 0.9753705263137817]",0.6682000160217285,0.9753705263137817,38164910,406.70443987846375,381482,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CMMY,42,1,1,False,False,"[1, 3, 0, 1, 2, 1, 2, -1, 0, 1, 3, 1, 1, 0, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.14030000567436218, 0.5353999733924866, 0.6202999949455261, 0.5715000033378601, 0.4853000044822693, 0.666700005531311, 0.7002999782562256, 0.7195000052452087, 0.6704999804496765, 0.6029000282287598, 0.7247999906539917, 0.6769999861717224, 0.6960999965667725, 0.7810999751091003, 0.7508000135421753, 0.6916000247001648, 0.7731000185012817, 0.7217000126838684, 0.7915999889373779, 0.7479000091552734]","[3.49424147605896, 1.3431611061096191, 1.0760595798492432, 1.2099789381027222, 2.0655388832092285, 0.9691920876502991, 0.8482530117034912, 0.8187643885612488, 1.045043706893921, 1.228867530822754, 0.8152939677238464, 0.9865086674690247, 0.9323375821113586, 0.6385450959205627, 0.7346184849739075, 0.96878582239151, 0.6512271761894226, 0.8868247866630554, 0.6085448265075684, 0.7905203104019165]",0.7479000091552734,0.7905203104019165,1076356350,699.0293800830841,2778666,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
NPIK,42,1,1,False,False,"[1, 2, 1, 2, -1, 0, 1, 3, 1, 1, 3, 0, 1, 2, 1, 1, 1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2874999940395355, 0.38510000705718994, 0.5200999975204468, 0.46810001134872437, 0.6187000274658203, 0.524399995803833, 0.5288000106811523, 0.598800003528595, 0.6384999752044678, 0.6758999824523926, 0.5814999938011169, 0.6650000214576721, 0.6662999987602234, 0.6976000070571899, 0.6848000288009644, 0.5676000118255615, 0.7601000070571899, 0.6718000173568726, 0.6227999925613403, 0.6919999718666077]","[2.115947961807251, 2.071023464202881, 1.357775330543518, 1.75993812084198, 1.1204259395599365, 1.7312527894973755, 1.6321535110473633, 1.2839194536209106, 1.0734907388687134, 0.9607108235359192, 1.335724949836731, 1.0502263307571411, 1.0477275848388672, 0.893195629119873, 1.0142500400543213, 1.744449257850647, 0.723430871963501, 1.2020622491836548, 1.4232860803604126, 1.0187700986862183]",0.6919999718666077,1.0187700986862183,635318558,639.5888869762421,4545866,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IOZR,42,1,1,False,False,"[1, 3, 0, 1, 2, 1, 1, 0, 0, 2, -1, 1, 1, 2, 0, 1, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2639999985694885, 0.5375000238418579, 0.6183000206947327, 0.5651000142097473, 0.6448000073432922, 0.6692000031471252, 0.5792999863624573, 0.7141000032424927, 0.6980000138282776, 0.6758000254631042, 0.6844000220298767, 0.7228000164031982, 0.6662999987602234, 0.7060999870300293, 0.7529000043869019, 0.7581999897956848, 0.7275999784469604, 0.7402999997138977, 0.7556999921798706, 0.7685999870300293]","[2.21582293510437, 1.2877522706985474, 1.061867117881775, 1.2772313356399536, 1.0546568632125854, 0.9467237591743469, 1.3022730350494385, 0.8307200074195862, 0.8547912836074829, 1.0202171802520752, 0.9384346604347229, 0.8126680254936218, 1.0281190872192383, 0.8891319632530212, 0.7287534475326538, 0.7155200839042664, 0.8117096424102783, 0.7854164838790894, 0.7353832721710205, 0.6973481774330139]",0.7685999870300293,0.6973481774330139,908679374,685.9119098186493,3035050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VGZC,42,1,1,False,False,"[1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.36890000104904175, 0.5069000124931335, 0.5972999930381775, 0.5525000095367432, 0.6172000169754028, 0.6463000178337097, 0.7105000019073486, 0.6599000096321106, 0.699999988079071, 0.7099000215530396, 0.6693000197410583, 0.722000002861023, 0.6847000122070312, 0.7615000009536743, 0.6930000185966492, 0.7773000001907349, 0.733299970626831, 0.7583000063896179, 0.73089998960495, 0.7651000022888184]","[1.7578883171081543, 1.37568199634552, 1.1794052124023438, 1.3691035509109497, 1.0967674255371094, 1.0179985761642456, 0.8359622955322266, 1.0344946384429932, 0.8550743460655212, 0.8663914203643799, 0.9769141674041748, 0.815117597579956, 0.9085312485694885, 0.6935068368911743, 0.9164679646492004, 0.6483041048049927, 0.7977021932601929, 0.7330451011657715, 0.8071563839912415, 0.6923994421958923]",0.7651000022888184,0.6923994421958923,893411182,723.270210981369,2108714,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
OQUO,42,1,1,False,False,"[1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 3, 0, 1, 1, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.26269999146461487, 0.4542999863624573, 0.5052000284194946, 0.5864999890327454, 0.6230000257492065, 0.6395999789237976, 0.4699999988079071, 0.6272000074386597, 0.7142000198364258, 0.6887000203132629, 0.4415999948978424, 0.6905999779701233, 0.5702000260353088, 0.5633000135421753, 0.7361999750137329, 0.736299991607666, 0.7232000231742859, 0.6935999989509583, 0.6610000133514404, 0.7590000033378601]","[2.230391263961792, 1.713969349861145, 1.464629888534546, 1.1603784561157227, 1.0538259744644165, 1.047697901725769, 1.81039297580719, 1.0830134153366089, 0.8267351388931274, 0.888878583908081, 2.2417948246002197, 0.9486202001571655, 1.4452062845230103, 1.4400123357772827, 0.7575449347496033, 0.757351815700531, 0.8009323477745056, 0.9350085854530334, 1.101934790611267, 0.7008000016212463]",0.7590000033378601,0.7008000016212463,150531134,607.497190952301,1106186,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MGSP,42,1,1,False,False,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 0, 1, 1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.19939999282360077, 0.4740999937057495, 0.49720001220703125, 0.5755000114440918, 0.5673999786376953, 0.6126000285148621, 0.6419000029563904, 0.49239999055862427, 0.578499972820282, 0.666700005531311, 0.6425999999046326, 0.5976999998092651, 0.7534999847412109, 0.47440001368522644, 0.7139000296592712, 0.717199981212616, 0.6809999942779541, 0.65420001745224, 0.6704000234603882, 0.5764999985694885]","[2.756796360015869, 1.5600517988204956, 1.6864259243011475, 1.2554877996444702, 1.233780026435852, 1.1536884307861328, 1.043769359588623, 1.8725323677062988, 1.3961517810821533, 0.9729623198509216, 1.1148473024368286, 1.233127474784851, 0.7160633206367493, 1.9271029233932495, 0.8538693189620972, 0.8449171185493469, 0.9806497097015381, 1.0819220542907715, 1.0888564586639404, 1.601231575012207]",0.5764999985694885,1.601231575012207,46586366,426.77964997291565,1247786,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
