,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
mean,0.7297269220535572,0.856271179822775,472190912.46153843,545.0392370223999,4098654.923076923
std,0.05804149203045715,0.23197464234695636,718428563.3982126,188.33139151649002,3989098.9192698733
